"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Hena","BRION","ADC",48,"42%","40%",102,93,219,3.5,"66.5%","21.1%","18.1%","15%",49,-11,5.7,9.7,"31.8%",456,"25.9%","27.5%",283,"26.5%",0,0.81,0.21,0.45
"HOYA","BRION","Top",48,"42%","42%",100,118,190,2.5,"60.0%","20.7%","23.0%","15%",-298,-183,-9.1,7.7,"22.2%",395,"22.7%","21.3%",228,"21.2%",0,0.46,0.26,0.24
"Jett","DRX","Middle",21,"19%","29%",49,73,79,1.8,"61.8%","23.7%","21.3%","29%",-123,-17,-3.5,8.2,"23.4%",334,"18.9%","16.6%",236,"22.1%",0,0.32,0.19,0.17
"Jun","DRX","Support",24,"25%","42%",17,75,148,2.2,"69.6%","7.2%","20.8%","13%",54,215,0.6,1.3,"2.9%",141,"8.1%","7.4%",97,"9.2%",0,1.62,0.56,0.4
"Kellin","Nongshim RedForce","Support",46,"59%","43%",30,116,366,3.4,"67.2%","5.1%","22.6%","15%",65,-48,-1.4,1.2,"3.1%",152,"7.5%","6.2%",101,"9.1%",0,1.77,0.47,0.41
"Keria","T1","Support",44,"57%","39%",33,107,315,3.3,"68.5%","6.5%","23.6%","23%",120,7,4.4,1.7,"3.8%",148,"8.0%","5.5%",111,"9.5%",0,1.82,0.68,0.33
"Khan","Dplus KIA","Top",43,"67%","56%",128,134,263,2.9,"64.4%","21.1%","26.4%","21%",-13,46,0.8,7.8,"24.2%",537,"26.1%","22.4%",267,"22.9%",0,0.42,0.22,0.23
"Kiin","Kwangdong Freecs","Top",46,"54%","59%",107,99,218,3.3,"61.3%","20.2%","20.2%","24%",241,166,9.7,8.8,"27.3%",515,"27.2%","25.8%",274,"24.7%",0,0.4,0.22,0.34
"Kingen","DRX","Middle",1,"0%","100%",1,3,1,0.7,"50.0%","25.0%","20.0%","0%",-455,-223,-22,8.3,"23.6%",230,"15.3%",,227,"22.7%",,0.29,0.16,0.16
"Kingen","DRX","Top",42,"21%","55%",66,117,160,1.9,"59.6%","17.4%","18.9%","12%",-88,-19,-1,8.3,"24.2%",453,"25.4%","21.8%",240,"22.6%",0,0.42,0.18,0.22
"Lava","BRION","Middle",45,"42%","44%",125,85,201,3.8,"70.9%","27.2%","17.5%","27%",-45,51,0.9,9.1,"26.8%",480,"26.6%","28.6%",269,"24.9%",0,0.46,0.22,0.32
